"Source:","/home/szymon/Projects/smart-home/ebus/ebus/design/ebus.sch"
"Date:","Wed 03 Nov 2021 11:00:56 CET"
"Tool:","Eeschema 5.1.5+dfsg1-2build2"
"Component Count:","47"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","330nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","",""
"C2","100nF","Capacitor_SMD:C_1206_3216Metric","~","",""
"C3","100uF","Capacitor_SMD:CP_Elec_5x5.7","~","",""
"C4","100nF","Capacitor_SMD:C_1206_3216Metric","~","",""
"C5","100uF","Capacitor_SMD:CP_Elec_5x5.7","~","",""
"C6","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","",""
"D1","1N4737A 9.1V","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/85790/zpy3v9.pdf","",""
"D2","TX red","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","~","",""
"D3","DF10M","Diode_THT:Diode_Bridge_DIP-4_W7.62mm_P5.08mm","http://www.vishay.com/docs/88571/dfm.pdf","",""
"D4","RX green","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","~","",""
"D5","EBUS yellow","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","~","",""
"D6","ESP blue","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","~","",""
"D7","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf","",""
"J1","EBUS","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","~","",""
"J2","UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"J3","USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_629105150521","~","",""
"J4","PWR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"J5","SERVICE","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"J6","PROG","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"J7","TX test","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"J8","TX switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"J9","RX switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"J10","Measurements","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~","",""
"Q1","BC337-40","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf","",""
"R1","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R3","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R4","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R6","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R7","15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R9","18k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R10","220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R11","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R13","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R14","390","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R15","820","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R16","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R17","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R18","10k","Resistor_SMD:R_1206_3216Metric","~","",""
"R19","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R20","4.7k","Resistor_SMD:R_1206_3216Metric","~","",""
"R21","4.7k","Resistor_SMD:R_1206_3216Metric","~","",""
"U1","AMP","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","",""
"U2","OTX","Package_DIP:DIP-6_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","",""
"U3","L7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm393.pdf","",""
"U4","ORX","Package_DIP:DIP-6_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","",""
"U5","ESP-12F","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf","",""
"U6","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","",""
